incident_type,location,date_occurred,description,status,severity,agent_name,victim_count
Violence,Mbour,2024-07-27 18:15,Bagarre bar,Nouveau,medium,Agent Diouf,2
Corruption,Tambacounda,2024-07-28 10:20,Corruption agent,Classé,low,Commissaire Kane,0
Trafic,Kolda,2024-07-29 02:40,Contrebande,Résolu,high,Inspecteur Camara,0
Vol bétail,Louga,2024-07-30 05:30,Vol chèvres,En cours,medium,Agent Gueye,1
Accident,Route Dakar,2024-07-31 20:45,Accident grave,Résolu,high,Commissaire Ndour,1
Manifestation,Dakar centre,2024-06-15 14:20,Manif syndicale,Classé,low,Brigade Antiémeute,0
Vol,Port Dakar,2024-06-16 03:50,Vol marchandises,En cours,high,Inspecteur Tall,0
Harcèlement,Dakar Dem Dikk,2024-06-17 16:25,Harcèlement transport,Nouveau,medium,Agent Thiam,1
Incendie,Marché Colobane,2024-06-18 00:45,Incendie suspect,Résolu,high,Police Kebe,0
Braconnage,Niokolo Koba,2024-06-19 04:15,Braconnage parc,En cours,high,Agent Dieng,0
Blanchiment,Banque Thiès,2024-06-20 11:10,Blanchiment argent,Nouveau,critical,Brigade Seck,0
Enlèvement,Saly Portudal,2024-06-21 13:35,Tentative kidnapping,Résolu,critical,Commissaire Dème,1
Viol,Pikine,2024-06-22 22:50,Viol conjugal,En cours,critical,Brigade Fall,1
Détournement,Conseil Départemental,2024-06-23 08:30,Détournement budget,Nouveau,high,Brigade Ly,0
Terrorisme,Frontière Mali,2024-06-24 19:15,Activité suspecte,Classé,critical,Forces Spéciales,0
Vandalisme,Statue Renaissance,2024-06-25 15:40,Tags monument,Résolu,low,Police Municipale,0
Contrebande,Kidira,2024-06-26 11:55,Contrebande or,En cours,high,Douanes Sy,0
Chantage,Point E,2024-06-27 17:30,Chantage sexuel,Nouveau,high,Cybercrime Ndiaye,1
Vol,Sandaga,2024-05-15 10:20,Vol étalage,En cours,low,Agent Diop,1
Agression,UCAD Bibliothèque,2024-05-16 07:35,Agression vol,Résolu,medium,Inspecteur Fall,1
Fraude,Plateau Centre,2024-05-17 14:50,Carte bancaire,Nouveau,medium,Agent Ndiaye,1
Cambriolage,Pikine Icotaf,2024-05-18 01:25,Cambriolage école,En cours,high,Commissaire Sow,0
Trafic,Guédiawaye Wakhinane,2024-05-19 09:40,Trafic yamba,Classé,high,Inspecteur Ba,0
Vol,Rufisque,2024-05-20 17:20,Vol moto-taxi,En cours,medium,Agent Sarr,1
Escroquerie,Thiès Escale,2024-05-21 08:55,Vente terrain fictif,Résolu,high,Brigadier Ciss,4
Violence,Kaolack Médina,2024-05-22 05:15,Querelle famille,En cours,medium,Agent Mbaye,2
Vol,Marché Kermel,2024-05-23 12:30,Pickpocket touriste,Nouveau,low,Inspecteur Diallo,1
Cybercrime,Saint-Louis Centre,2024-05-24 15:05,Arnaque internet,En cours,medium,Commissaire Faye,1
Agression,Ziguinchor Marché,2024-05-25 19:40,Agression commerçant,Résolu,high,Agent Sy,1
Vol,Touba Mosquée,2024-05-26 11:45,Vol chaussures,En cours,low,Inspecteur Wade,1
Violence,Mbour Plage,2024-05-27 16:55,Bagarre pêcheurs,Nouveau,medium,Agent Diouf,3
Corruption,Tambacounda Gare,2024-05-28 09:25,Corruption douanier,Classé,medium,Commissaire Kane,0
Trafic,Kolda Marché,2024-05-29 01:50,Faux médicaments,Résolu,high,Inspecteur Camara,0
Vol,Louga Centre,2024-05-30 04:40,Vol bétail nuit,En cours,high,Agent Gueye,1
Accident,Autoroute Thiès-Kaolack,2024-05-31 21:15,Collision bus-camion,Résolu,critical,Commissaire Ndour,5
Manifestation,Université Dakar,2024-04-15 13:45,Grève étudiante,Classé,low,Brigade Antiémeute,0
Vol,Port Autonome,2024-04-16 02:20,Vol équipement,En cours,high,Inspecteur Tall,0
Harcèlement,Bus Tata,2024-04-17 15:50,Harcèlement femme,Nouveau,medium,Agent Thiam,1
Incendie,Marché Sandaga,2024-04-18 23:30,Court-circuit,Résolu,medium,Police Kebe,0
Braconnage,Ferlo,2024-04-19 03:25,Chasse gazelles,En cours,medium,Agent Dieng,0
Blanchiment,Western Union,2024-04-20 10:15,Transfert suspect,Nouveau,high,Brigade Seck,0
Kidnapping,Bargny,2024-04-21 12:40,Enlèvement rançon,Résolu,critical,Commissaire Dème,1
Viol,Grand Yoff,2024-04-22 20:25,Agression mineure,En cours,critical,Brigade Fall,1
Détournement,Hôpital Principal,2024-04-23 07:50,Vol médicaments,Nouveau,high,Brigade Ly,0
Terrorisme,Aéroport Dakar,2024-04-24 18:35,Colis suspect,Classé,high,Forces Spéciales,0
Vandalisme,École Primaire,2024-04-25 14:10,Destruction matériel,Résolu,medium,Police Municipale,0
Contrebande,Bakel,2024-04-26 10:45,Contrebande bétail,En cours,medium,Douanes Sy,0
Chantage,Fann Résidence,2024-04-27 16:20,Chantage politique,Nouveau,high,Cybercrime Ndiaye,1
Vol,HLM Grand Yoff,2024-04-28 08:30,Vol domicile,En cours,medium,Agent Diop,1
Agression,Parcelles Assainies,2024-04-29 06:45,Agression rue,Résolu,medium,Inspecteur Fall,1
Fraude,Marché Castors,2024-04-30 13:25,Fausse monnaie,Nouveau,medium,Agent Ndiaye,2
Cambriolage,Yoff Virage,2024-03-15 00:15,Cambriolage magasin,En cours,high,Commissaire Sow,0
Trafic,Thiaroye,2024-03-16 08:50,Trafic cigarettes,Classé,medium,Inspecteur Ba,0
Vol,Rufisque Bargny,2024-03-17 16:40,Vol téléphone,En cours,low,Agent Sarr,1
Escroquerie,Thiès Nguinth,2024-03-18 07:20,Faux guérisseur,Résolu,medium,Brigadier Ciss,6
Violence,Kaolack Ndangalma,2024-03-19 04:35,Violence électorale,En cours,high,Agent Mbaye,4
Vol,Île de Gorée,2024-03-20 11:50,Vol touriste,Nouveau,low,Inspecteur Diallo,1
Cybercrime,Saint-Louis Sor,2024-03-21 14:15,Piratage email,En cours,medium,Commissaire Faye,1
Agression,Ziguinchor Tilène,2024-03-22 18:55,Agression taxi,Résolu,medium,Agent Sy,1
Vol,Touba Ndamatou,2024-03-23 10:25,Vol vélo,En cours,low,Inspecteur Wade,1
Violence,Mbour Saly,2024-03-24 15:35,Violence tourisme,Nouveau,high,Agent Diouf,2
Corruption,Tambacounda Wassadou,2024-03-25 08:10,Corruption forestier,Classé,medium,Commissaire Kane,0
Trafic,Kolda Vélingara,2024-03-26 00:45,Trafic ivoire,Résolu,critical,Inspecteur Camara,0
